,Text,Intent,intent
565,How does one go about applying for a comp off?,leave_comp,0
575,Could you guide me on how to apply for a comp off?,leave_comp,0
574,What is the proper protocol for obtaining a comp off?,leave_comp,0
573,Can you explain the steps involved in receiving a comp off?,leave_comp,0
571,I would appreciate it if you could explain the procedure for availing a comp off.,leave_comp,0
570,Can you outline the steps I need to follow to request a comp off?,leave_comp,0
569,Could you provide a detailed explanation of the process for getting a comp off?,leave_comp,0
568,What is the correct way to apply for a comp off?,leave_comp,0
567,I need assistance in understanding how to obtain a comp off. Can you help me with that?,leave_comp,0
566,Can you walk me through the steps of receiving a comp off?,leave_comp,0
564,What are the necessary steps to take in order to request a comp off?,leave_comp,0
576,Can you provide a step-by-step guide on how to get a comp off?,leave_comp,0
563,Can you clarify the process of availing a comp off?,leave_comp,0
561,Could you enlighten me on the procedure for obtaining a comp off?,leave_comp,0
560,What is the proper way to apply for a comp off?,leave_comp,0
559,Can you outline the steps required to receive a comp off?,leave_comp,0
558,Is there a specific way to request a comp off?,leave_comp,0
557,I would like to know the protocol for availing a comp off. Can you assist me?,leave_comp,0
556,How can I go about getting a comp off?,leave_comp,0
555,Can you provide me with the steps to apply for a comp off?,leave_comp,0
554,I'm curious about the process of obtaining a comp off. Can you explain it to me?,leave_comp,0
552,What is the procedure for taking a comp off?,leave_comp,0
553,Could you please guide me on how to request a comp off?,leave_comp,0
562,I'm interested in learning more about how to receive a comp off. Can you provide some guidance?,leave_comp,0
577,I'm unsure about the process of availing a comp off. Can you shed some light on it?,leave_comp,0
572,How can I formally apply for a comp off?,leave_comp,0
579,How does one formally apply for a comp off?,leave_comp,0
601,I would like to know the appropriate protocol for obtaining a comp off. Can you provide guidance on that?,leave_comp,0
600,Can you explain the process of receiving a comp off in detail?,leave_comp,0
599,How does one officially apply for a comp off?,leave_comp,0
598,What are the necessary steps I need to follow in order to request a comp off?,leave_comp,0
597,I'm unsure about the process of obtaining a comp off. Can you clarify it for me?,leave_comp,0
596,Could you provide a step-by-step guide on how to receive a comp off?,leave_comp,0
595,What is the formal way to apply for a comp off?,leave_comp,0
578,What are the necessary actions I need to take in order to request a comp off?,leave_comp,0
593,Can you walk me through the steps required to obtain a comp off?,leave_comp,0
